Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16501,The Land Before Time: Into the Mysterious Beyond,GBA,2006,Platform,Game Factory,0.01,0,0,0,0.01
16502,Irotoridori no Sekai: World's End Re-Birth,PSV,2015,Action,HuneX,0,0,0.01,0,0.01
16503,Satomi Hakkenden: Hachi Tamanoki,PSP,2014,Adventure,Quinrose,0,0,0.01,0,0.01
16504,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PC,2010,Shooter,Activision,0.01,0,0,0,0.01
16505,Naraku no Shiro,PS2,2008,Adventure,Nippon Ichi Software,0,0,0.01,0,0.01
16506,Shinigami to Shoujo,PSP,2011,Adventure,Takuyo,0,0,0.01,0,0.01
16507,Mystereet,PS2,2006,Adventure,Yeti,0,0,0.01,0,0.01
16508,Rabbids Invasion: The Interactive TV Show,XOne,2014,Misc,Ubisoft,0,0.01,0,0,0.01
16509,Samurai Shodown: Warrios Rage,PS,1999,Fighting,SNK,0.01,0,0,0,0.01
16510,Romeo Vs. Juliet,PSP,2013,Adventure,Quinrose,0,0,0.01,0,0.01
16511,The Rise of the Argonauts,PC,2008,Role-Playing,Codemasters,0,0.01,0,0,0.01
16512,Trine,PC,2009,Action,Nobilis,0,0.01,0,0,0.01
16513,Palais de Reine,PS2,2007,Strategy,Interchannel-Holon,0,0,0.01,0,0.01
16514,Pony Friends 2,PC,2009,Simulation,Eidos Interactive,0,0.01,0,0,0.01
16515,Balloon Pop 2,3DS,2012,Puzzle,UFO Interactive,0.01,0,0,0,0.01
16516,Deal or No Deal,PC,2006,Misc,Focus Home Interactive,0,0.01,0,0,0.01
16517,National Geographic Panda (JP sales),DS,2008,Simulation,Ubisoft,0,0,0.01,0,0.01
733,Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,1.47,0.55,0,0.19,2.21
2963,Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0,0.1,0.69
5975,Assassin's Creed IV: Black Flag,WiiU,2013,Action,Ubisoft,0.18,0.09,0,0.03,0.29
308,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89
